,date,opening,closing,lowest,highest,volume,quantity,amount,avg_price
231,2019-08-20,43850.02001,43500,43000,44469.99004,14021689.17794534,321.20249959,9299,43653.73618151
232,2019-08-21,43500,40890.00001,40310,43950.0,27782708.72732441,667.87055907,14572,41598.94211538
233,2019-08-22,40999.99998999,41161.00001,40601,41920.0,11194985.76951751,271.05872455,9884,41300.96084567
234,2019-08-23,41344.70984,41915.3301,41120,42999.0,13185665.05564026,312.33987599,10503,42215.75939942
235,2019-08-24,41915.35011,41507,41200,42349.99998,4331917.37834841,104.3037961,3770,41531.73269163
236,2019-08-25,41529,42218,41500,43000.0,7147373.56682659,168.63747398,4396,42383.06823591
237,2019-08-26,42303.19999999,42420,41950.93597,43100.0,14588112.79865478,342.23444972,9658,42626.07931665
238,2019-08-27,42780,42212.00004,42001,42850.0,10049828.57801365,236.80142066,7776,42439.89985365
239,2019-08-28,42397.99992,41198.98999,40800,43200.0,20706923.05687296,495.17078137,11923,41817.74013317
240,2019-08-29,40965.00004,40169.97829,40000,41199.99991,17557824.00444328,435.15867354,11515,40348.09615906
241,2019-08-30,40169.97803,40335.07032,39850,40867.0,10636493.91688372,263.54124372,7829,40359.88358689
242,2019-08-31,40355.8,40401.99998999,39964.5,40900.0,3205751.00667028,79.46294674,2506,40342.71491541
243,2019-09-01,40213.00017,40520.01,40206,40800.0,2050988.10652374,50.67185082,2244,40475.8869734
244,2019-09-02,40514.42315,42450,40360,43213.08999999,22808527.62660932,540.98993546,13813,42160.72450075
245,2019-09-03,42450,43215,42216.58272,44798.0,35227287.50738645,804.75635178,19201,43773.85457035
246,2019-09-04,43215,43564.00001,43000,44358.69,21503998.30928148,491.39861259,11926,43760.80387354
